,name,word,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
1018,SDRW2200000719.1.1.165.wav,뉴욕을,0.0,11520.0,남성,20대,서울,ㄴㅠㅛ,/home/hyohyeongjang/phonology/ni/SDRW2200000719.1.1.165.wav,44.0,383.0,443.0,N,cute!,ㅠ,0.85
1027,SDRW2200000835.1.1.282.wav,녀석이,29440.0,38080.0,여성,20대,경기,ㄴㅕㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200000835.1.1.282.wav,546.0,626.0,697.0,N,cute!,ㅕ,0.53
1039,SDRW2200000948.1.1.208.wav,뉴진스가,0.0,11520.0,남성,20대,경기,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200000948.1.1.208.wav,3.0,191.0,306.0,N,cute!,ㅠ,0.62
1040,SDRW2200000948.1.1.223.wav,뉴진스,3200.0,11200.0,남성,20대,경기,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200000948.1.1.223.wav,263.0,350.0,441.0,N,cute!,ㅠ,0.489
1197,SDRW2200002491.1.1.83.wav,니트를,30720.0,37120.0,남성,20대,서울,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2200002491.1.1.83.wav,546.0,680.0,753.0,N,cute!,ㅣ,0.647
1198,SDRW2200002505.1.1.78.wav,니트를,5440.0,16320.0,여성,20대,경기,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2200002505.1.1.78.wav,525.0,676.0,710.0,N,cute!,ㅣ,0.816
1201,SDRW2200002527.1.1.420.wav,녀석들을,25280.0,32960.0,남성,20대,경기,ㄴㅕㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200002527.1.1.420.wav,519.0,618.0,681.0,N,cute!,ㅕ,0.611
1210,SDRW2200002572.1.1.291.wav,니키,2240.0,7360.0,여성,20대,서울,ㄴㅣㅋ,/home/hyohyeongjang/phonology/ni/SDRW2200002572.1.1.291.wav,179.0,316.0,352.0,N,cute!,ㅣ,0.792
1213,SDRW2200002590.1.1.11.wav,뉴진스나,15040.0,30080.0,여성,20대,서울,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200002590.1.1.11.wav,514.0,579.0,782.0,N,cute!,ㅠ,0.243
1214,SDRW2200002590.1.1.2.wav,뉴진스,7040.0,15360.0,여성,20대,서울,ㄴㅠㅈ,/home/hyohyeongjang/phonology/ni/SDRW2200002590.1.1.2.wav,489.0,603.0,652.0,N,cute!,ㅠ,0.699
1220,SDRW2200002612.1.1.266.wav,뉴스에도,7360.0,17280.0,여성,20대,서울,ㄴㅠㅅ,/home/hyohyeongjang/phonology/ni/SDRW2200002612.1.1.266.wav,456.0,679.0,727.0,N,cute!,ㅠ,0.823
1224,SDRW2200002661.1.1.52.wav,니트,13760.0,20800.0,남성,20대,경기,ㄴㅣㅌ,/home/hyohyeongjang/phonology/ni/SDRW2200002661.1.1.52.wav,497.0,773.0,848.0,N,cute!,ㅣ,0.786
