,name,word,token,start_x,end_x,sex,age,principal_residence,vowel,path,start_y,mid,end_y,consonant,status,mid_vowel,ratio
854,SDRW2200000231.1.1.90.wav,리벤져스라는,리벤져스,23360,33920,남성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000231.1.1.90.wav,498,585,625,R,cute!,ㅣ,0.685
207,SDRW2100000004.1.1.97.wav,리뷰,리뷰,6080,12800,여성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100000004.1.1.97.wav,440,573,863,R,cute!,ㅣ,0.314
220,SDRW2100000072.1.1.287.wav,리뷰,리뷰,9920,14080,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100000072.1.1.287.wav,406,579,669,R,cute!,ㅣ,0.658
322,SDRW2100000589.1.1.94.wav,리뷰,리뷰,0,7360,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100000589.1.1.94.wav,0,311,372,R,cute!,ㅣ,0.836
812,SDRW2200000076.1.1.87.wav,리뷰,리뷰,30080,35520,여성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000076.1.1.87.wav,557,670,248,R,cute!,ㅣ,-0.366
869,SDRW2200000279.1.1.18.wav,리뷰,리뷰,0,3840,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000279.1.1.18.wav,0,53,124,R,cute!,ㅣ,0.427
872,SDRW2200000284.1.1.252.wav,리뷰,리뷰,6400,12160,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000284.1.1.252.wav,478,582,684,R,cute!,ㅣ,0.505
1008,SDRW2200000739.1.1.331.wav,리뷰,리뷰,3840,11840,남성,20대,서울,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200000739.1.1.331.wav,394,514,562,R,cute!,ㅣ,0.714
1328,SDRW2200002491.1.1.220.wav,리뷰,리뷰,9600,15360,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2200002491.1.1.220.wav,364,609,660,R,cute!,ㅣ,0.828
407,SDRW2100001070.1.1.79.wav,리뷰가,리뷰,4800,16960,여성,20대,경기,ㄹㅣㅂ,/home/hyohyeongjang/phonology/ri/SDRW2100001070.1.1.79.wav,367,480,498,R,cute!,ㅣ,0.863
