id,sex,age,principal_residence
SD2000579,여성,40대,서울
SD2000898,남성,50대,서울
SD2000896,여성,10대,서울
SD2000533,남성,20대,경기
SD2000534,여성,40대,경기
SD2000533,남성,20대,경기
SD2000534,여성,40대,경기
SD2000535,여성,20대,부산
SD2000536,여성,20대,부산
SD2000535,여성,20대,부산
SD2000536,여성,20대,부산
SD2000537,여성,40대,전북
SD2000538,여성,10대,경기
SD2000537,여성,40대,전북
SD2000538,여성,10대,경기
SD2000539,남성,20대,광주
SD2000540,남성,30대,광주
SD2000539,남성,20대,광주
SD2000540,남성,30대,광주
SD2000541,여성,30대,전남
SD2000542,여성,30대,광주
SD2000541,여성,30대,전남
SD2000543,여성,30대,광주
SD2000543,여성,30대,광주
SD2000542,여성,30대,광주
SD2000544,여성,30대,광주
SD2000545,남성,30대,광주
SD2000544,여성,30대,광주
SD2000545,남성,30대,광주
SD2000546,여성,30대,서울
SD2000547,여성,30대,전북
SD2000546,여성,30대,서울
SD2000547,여성,30대,전북
SD2000548,남성,30대,제주
SD2000549,남성,30대,제주
SD2000548,남성,30대,제주
SD2000549,남성,30대,제주
SD2000550,여성,30대,서울
SD2000551,남성,30대,서울
SD2000550,여성,30대,서울
SD2000551,남성,30대,서울
SD2000552,여성,10대,경기
SD2000553,여성,10대,서울
SD2000552,여성,10대,경기
SD2000553,여성,10대,서울
SD2000554,여성,50대,서울
SD2000555,여성,30대,서울
SD2000554,여성,50대,서울
SD2000555,여성,30대,서울
SD2000556,여성,30대,제주
SD2000557,남성,30대,인천
SD2000556,여성,30대,제주
SD2000557,남성,30대,인천
SD2000558,남성,20대,서울
SD2000559,여성,10대,제주
SD2000558,남성,20대,서울
SD2000559,여성,10대,제주
SD2000560,남성,20대,제주
SD2000561,여성,20대,서울
SD2000560,남성,20대,제주
SD2000561,여성,20대,서울
SD2000562,남성,30대,대전
SD2000563,여성,30대,대전
SD2000562,남성,30대,대전
SD2000563,여성,30대,대전
SD2000564,여성,20대,경기
SD2000565,남성,20대,대전
SD2000564,여성,20대,경기
SD2000565,남성,20대,대전
SD2000566,여성,30대,제주
SD2000567,여성,30대,제주
SD2000566,여성,30대,제주
SD2000567,여성,30대,제주
SD2000568,여성,30대,부산
SD2000569,여성,30대,부산
SD2000570,여성,40대,부산
SD2000569,여성,30대,부산
SD2000568,여성,30대,부산
SD2000570,여성,40대,부산
SD2000571,여성,30대,서울
SD2000572,여성,30대,부산
SD2000571,여성,30대,서울
SD2000572,여성,30대,부산
SD2000573,남성,60대,서울
SD2000574,여성,20대,경기
SD2000573,남성,60대,서울
SD2000574,여성,20대,경기
SD2000575,여성,30대,서울
SD2000576,여성,30대,경기
SD2000577,여성,20대,서울
SD2000576,여성,30대,경기
SD2000577,여성,20대,서울
SD2000575,여성,30대,서울
SD2000578,남성,30대,서울
SD2000579,여성,40대,서울
SD2000580,여성,40대,서울
SD2000581,여성,30대,광주
SD2000581,여성,30대,광주
SD2000582,여성,40대,경기
SD2000580,여성,40대,서울
SD2000582,여성,40대,경기
SD2000583,남성,20대,서울
SD2000584,남성,30대,서울
SD2000583,남성,20대,서울
SD2000585,여성,50대,광주
SD2000584,남성,30대,서울
SD2000585,여성,50대,광주
SD2000586,남성,30대,대전
SD2000587,여성,20대,부산
SD2000586,남성,30대,대전
SD2000587,여성,20대,부산
SD2000588,남성,20대,서울
SD2000589,남성,30대,대전
SD2000588,남성,20대,서울
SD2000589,남성,30대,대전
SD2000590,여성,20대,울산
SD2000591,여성,20대,부산
SD2000590,여성,20대,울산
SD2000591,여성,20대,부산
SD2000592,여성,20대,광주
SD2000593,여성,20대,광주
SD2000594,여성,20대,광주
SD2000593,여성,20대,광주
SD2000594,여성,20대,광주
SD2000592,여성,20대,광주
SD2000595,여성,20대,강원
SD2000596,여성,20대,강원
SD2000597,여성,20대,강원
SD2000598,여성,20대,강원
SD2000597,여성,20대,강원
SD2000598,여성,20대,강원
SD2000599,남성,20대,서울
SD2000600,여성,20대,서울
SD2000599,남성,20대,서울
SD2000600,여성,20대,서울
SD2000601,남성,20대,서울
SD2000602,여성,20대,경기
SD2000601,남성,20대,서울
SD2000602,여성,20대,경기
SD2000603,여성,60대,서울
SD2000604,남성,30대,경기
SD2000605,여성,60대,서울
SD2000604,남성,30대,경기
SD2000603,여성,60대,서울
SD2000605,여성,60대,서울
SD2000606,남성,40대,광주
SD2000607,여성,40대,광주
SD2000607,여성,40대,광주
SD2000608,남성,40대,광주
SD2000608,남성,40대,광주
SD2000606,남성,40대,광주
SD2000609,여성,10대,광주
SD2000610,여성,10대,광주
SD2000611,여성,10대,광주
SD2000610,여성,10대,광주
SD2000611,여성,10대,광주
SD2000609,여성,10대,광주
SD2000612,여성,50대,광주
SD2000613,남성,50대,광주
SD2000612,여성,50대,광주
SD2000613,남성,50대,광주
SD2000614,여성,20대,제주
SD2000615,여성,10대,제주
SD2000614,여성,20대,제주
SD2000616,여성,20대,제주
